key,usage,japanese,english
game.guide.click_danger,GameScene initial dialogue-box guide,「！」をクリックして、これから起こる事件に介入してください。,Click the exclamation mark to intervene in the event that is about to occur.
tutorial.hover.suicide,GameScene first danger mark hover log,誰かが自殺を止めようとしている……,Someone is trying to prevent a suicide...
tutorial.result.helped,GameScene first tutorial result after choosing Yes,自殺は間に合わなかった……,The suicide could not be prevented in time...
tutorial.result.not_helped,GameScene first tutorial result after choosing No or timing out,自殺は防げたが、人身事故が発生した……,The suicide was prevented, but a traffic accident occurred...
click.clicked_format,GameScene click history ({0}=object name),{0} をクリックしました！,Clicked {0}!

tutorial.question.help,GameScene first tutorial question,助けますか？,Will you help?
common.yes,GameScene tutorial and pause confirmation button,はい,Yes
common.no,GameScene tutorial and pause confirmation button,いいえ,No
pause.return_title,GameScene pause confirmation,タイトルに戻りますか？,Return to the title screen?

language.select_title,TitleScene language selection heading,言語を選択,Select Language
language.japanese,TitleScene Japanese language button,日本語,Japanese
language.english,TitleScene English language button,英語,English

story.main_heading,GameScene main-story heading,メインストーリー,MAIN STORY
click.hover_format,GameScene upper hover status ({0}=object name),{0} にカーソルが合っています,Cursor is over {0}
sample.cafe,SampleScene map label,カフェ,Cafe
sample.fountain,SampleScene map label,噴水,Fountain
sample.residential,SampleScene map label,住宅街,Residential Area
